source,target
879,762
653,766
858,805
609,926
848,773
965,940
861,610
872,894
635,650
611,617
773,629
768,941
674,734
761,652
876,813
706,869
645,517
793,736
524,573
698,682
677,673
842,755
832,841
798,916
594,522
687,888
903,662
915,768
938,831
879,938
587,623
561,703
710,875
735,662
653,901
918,997
705,640
952,556
863,681
590,586
846,571
943,840
559,917
846,989
543,995
518,623
634,864
799,533
551,666
944,913
843,583
945,800
797,577
586,847
730,786
669,678
501,822
611,720
802,599
633,730
886,709
876,930
924,646
692,931
641,621
902,805
501,934
625,963
866,641
829,882
596,703
535,879
879,948
751,995
939,634
975,583
563,630
640,822
644,638
992,954
984,550
806,813
811,601
541,782
567,752
627,866
825,858
793,857
997,625
929,834
986,649
964,913
944,941
532,839
532,748
594,960
751,722
706,805
585,881
527,924
633,638
990,908
553,960
581,939
556,655
931,790
682,560
711,814
858,977
819,887
510,835
532,689
616,778
926,832
853,682
786,988
943,974
603,897
610,879
687,853
549,529
945,783
718,844
555,521
781,965
604,626
798,631
765,669
543,740
958,694
522,577
635,547
514,605
536,597
692,651
588,682
561,868
972,756
620,523
599,742
829,512
984,734
920,545
639,874
575,538
877,745
614,983
588,945
804,844
621,869
696,594
982,603
827,770
696,976
611,784
697,743
773,524
688,942
931,834
680,608
774,967
718,908
519,678
672,765
514,855
829,737
894,559
897,930
841,738
704,600
699,527
972,827
831,697
926,972
729,936
672,851
924,936
816,614
785,768
541,673
672,505
978,898
675,568
914,820
751,606
902,857
600,894
592,578
716,716
783,951
933,973
716,663
505,941
729,563
617,876
747,929
920,911
515,504
958,642
991,703
804,678
888,743
726,887
984,942
717,759
747,799
739,890
808,965
524,961
726,918
820,778
929,926
692,940
819,709
652,985
500,715
858,856
581,583
562,682
997,975
871,900
999,799
728,519
595,817
822,591
553,880
685,605
733,807
771,649
920,634
800,676
715,532
869,846
648,764
753,669
557,761
743,969
635,595
876,621
578,797
547,740
600,846
644,967
707,546
945,744
737,859
665,785
632,627
584,990
510,587
582,881
587,882
784,861
550,700
645,540
535,888
856,524
501,770
627,961
851,685
654,508
532,812
962,936
889,535
734,825
587,725
569,536
790,956
784,824
910,862
904,971
962,876
860,697
598,743
983,624
867,871
978,503
798,797
661,532
798,973
937,690
997,676
928,778
581,938
685,695
893,820
550,945
674,571
911,994
582,659
513,529
719,802
512,869
684,704
678,973
687,874
515,722
808,570
980,688
644,818
653,601
766,619
932,631
667,715
771,809
517,807
930,540
801,625
525,818
992,930
571,854
936,576
528,706
720,678
998,793
524,792
818,601
500,611
900,649
887,671
611,893
558,615
838,526
726,752
916,630
916,893
933,851
910,934
695,996
768,548
924,664
629,716
695,765
726,593
574,911
510,536
954,887
823,984
680,574
965,524
664,719
805,913
958,784
524,763
511,618
654,924
587,524
747,559
603,544
726,558
665,800
502,963
927,869
571,961
875,914
798,991
715,835
920,811
633,777
717,875
563,930
899,643
815,625
501,974
707,689
633,704
921,517
992,906
732,638
879,665
972,601
602,927
808,821
567,800
523,957
586,874
861,662
568,644
794,582
735,564
556,653
896,848
772,547
793,811
508,814
527,792
850,568
877,591
804,722
757,590
760,839
896,708
667,967
940,843
560,549
659,914
992,627
636,862
630,993
847,773
682,714
515,863
720,909
943,758
870,965
858,544
944,847
688,530
851,556
586,559
905,934
903,944
603,986
877,696
792,521
892,930
562,704
951,650
599,776
554,603
639,624
995,728
796,510
980,790
767,535
575,880
967,847
718,585
955,700
657,907
834,685
992,536
995,860
986,595
631,908
910,720
824,817
561,913
828,635
800,927
813,745
777,787
799,806
812,854
502,526
816,626
600,608
540,524
832,560
622,577
968,664
885,803
604,726
798,557
676,799
565,882
880,717
943,579
898,967
872,885
712,743
964,572
525,723
609,816
793,662
574,514
765,514
887,536
557,608
652,843
853,677
637,608
506,684
532,838
931,733
723,750
735,730
658,934
517,645
989,771
852,975
593,610
985,884
563,614
614,517
508,509
878,938
991,653
877,776
981,574
530,868
723,740
573,780
780,602
732,767
743,823
