source,target
837,582
825,805
665,539
739,698
911,735
862,966
525,582
593,502
900,901
522,678
887,967
902,728
876,721
627,880
658,763
700,656
695,915
730,817
941,996
917,774
794,940
743,608
562,890
513,977
511,924
918,752
802,679
543,751
593,739
778,760
501,542
544,864
748,678
524,924
665,511
602,681
818,969
873,828
610,874
892,543
600,872
845,653
974,799
888,589
904,543
591,644
849,663
759,727
814,818
705,842
612,841
990,957
559,617
982,509
860,828
680,841
962,650
927,989
525,978
571,999
834,568
860,591
878,993
573,910
782,760
621,945
869,939
698,607
677,606
960,683
761,755
735,617
543,567
607,959
621,874
727,760
557,837
746,780
826,910
800,717
569,690
876,585
550,662
738,647
909,947
982,545
744,692
713,634
570,994
962,927
826,652
661,826
573,609
750,551
854,980
682,593
763,725
971,578
634,725
833,684
729,762
833,840
771,687
955,850
947,887
703,550
644,973
681,626
518,845
605,639
621,673
845,502
980,565
558,500
905,777
543,820
799,887
925,821
716,512
852,873
548,640
676,527
765,915
583,939
981,903
610,652
980,572
601,700
503,647
941,784
713,775
528,905
843,991
581,583
910,724
511,906
515,691
650,733
841,798
559,579
792,550
849,711
989,543
859,665
939,603
811,559
545,692
812,671
909,994
535,615
753,791
641,940
608,664
700,827
636,651
720,852
718,838
648,643
771,766
807,938
825,941
602,576
914,531
604,502
875,921
636,789
656,844
524,1000
730,718
728,702
541,980
820,595
816,875
605,541
732,509
761,550
508,833
843,866
774,809
988,729
865,651
816,965
739,655
918,743
910,930
882,748
890,654
616,576
908,932
671,790
907,716
999,721
720,695
549,787
655,623
531,571
828,625
554,831
711,614
863,677
678,780
509,806
787,755
674,667
549,696
811,788
632,860
840,758
517,632
506,771
770,809
857,560
581,712
818,975
858,902
624,590
972,787
527,715
549,975
679,829
610,958
511,914
804,888
766,997
547,619
890,992
957,502
840,753
863,871
664,802
702,937
719,725
843,720
770,742
894,661
801,753
599,964
747,693
713,881
941,797
690,751
656,518
677,704
976,600
750,629
608,862
539,564
509,527
563,617
895,637
634,644
626,923
608,673
905,842
916,631
507,576
953,982
833,529
861,756
562,603
844,961
847,607
917,700
897,880
989,622
699,855
666,831
958,707
884,565
718,627
776,841
750,928
771,897
596,645
880,796
650,818
658,908
817,795
884,923
882,599
922,731
625,685
524,994
634,516
672,524
900,667
516,638
890,765
750,773
768,535
796,604
538,775
916,596
751,930
557,527
623,770
951,513
703,557
873,704
732,616
591,567
931,642
692,629
512,695
600,839
747,791
803,871
926,534
648,905
969,764
526,995
840,715
553,554
714,777
529,500
587,702
717,929
663,635
699,930
751,605
547,782
541,688
573,953
798,632
857,777
565,728
509,593
942,978
921,997
748,667
520,703
951,658
831,568
731,741
783,550
539,886
534,569
950,722
957,926
518,666
522,621
724,632
881,856
846,875
633,615
681,721
886,699
639,803
742,752
822,572
523,510
857,626
828,889
948,739
751,842
952,977
520,710
886,635
753,651
887,653
644,989
706,711
814,791
613,727
807,546
927,596
833,710
681,681
593,577
553,951
847,964
526,895
572,893
787,928
618,797
700,767
538,736
602,819
930,853
822,592
660,892
611,812
997,843
836,695
620,662
750,579
582,806
869,855
696,557
915,685
769,697
553,509
803,538
713,559
993,803
678,718
617,650
863,616
714,882
924,827
966,646
942,670
751,723
717,501
816,823
663,757
517,555
983,991
965,890
566,516
879,796
543,602
736,768
698,865
975,919
660,616
624,637
519,928
687,730
635,812
796,562
584,931
760,782
776,574
599,653
959,582
980,536
766,713
939,661
582,602
770,804
969,951
531,561
917,855
842,878
584,827
641,829
817,534
596,644
673,860
677,914
903,993
555,534
964,600
623,582
705,763
666,612
680,549
868,995
589,893
587,535
862,617
567,757
604,1000
891,509
579,809
844,825
970,819
924,565
748,708
524,998
638,699
548,954
584,689
697,961
508,972
797,851
827,939
685,592
826,608
721,841
894,777
754,775
945,743
782,817
827,588
837,998
861,820
781,829
781,621
518,823
968,835
790,744
957,712
967,857
852,831
663,755
650,837
880,515
667,674
981,787
570,686
581,542
753,815
686,543
786,601
